z_2D,x_CH4_2D,x_H2O_2D,x_H2_2D,x_CO_2D,x_CO2_2D,x_N2_2D,X_CH4_2D,Y_CO2_2D,T_avg_2D
0,0.2128,0.714,0.0259,0.0004,0.0119,0.035,0,0,793
0.000964842022442817,0.212755873082163,0.713899858765892,0.0260162431018544,0.000405941659277994,0.0119242501165766,0.0349978332742364,0.000145465890589219,0.000117426458065465,793.22790293138
0.00192968404488563,0.212711863230506,0.713799994315642,0.0261321667025193,0.000411878670587311,0.0119484247840736,0.0349956722966719,0.000290563809683775,0.000234503635183674,793.452108126161
0.00289452606732845,0.212667966593811,0.713700398036394,0.0262477808201571,0.000417811679555776,0.0119725259918787,0.0349935168782034,0.000435306317201171,0.000351241063403106,793.673010334649
0.00588815321838895,0.212532364388071,0.71339279732072,0.026604862643734,0.000436204145356185,0.0120469129813802,0.0349868585207386,0.000882546680781095,0.000711644477729345,794.343297801416
0.00888178036944945,0.212397673603567,0.713087368283632,0.0269594402120364,0.000454577196267561,0.0121206957884971,0.034980244916,0.00132694956218634,0.00106927137319323,794.992879926073
0.01187540752051,0.212263858558656,0.712784031475926,0.0273116059944634,0.000472937163197001,0.0121938924958145,0.0349736743119429,0.00176862944130514,0.00142420671307139,795.626110011739
0.0148690346715705,0.212130894427167,0.712482730855878,0.0276614250917841,0.000491287687536234,0.0122665164480844,0.0349671454895494,0.002207665142757,0.00177651245129113,796.246183785236
0.020208817896499,0.211895792052539,0.711950248725595,0.0282796958410926,0.000524001164946051,0.0123946607542134,0.0349556014616145,0.00298435357035626,0.00239851371957455,797.325600973733
0.0255486011214275,0.211663265277303,0.711423941732009,0.0288908516200857,0.000556697934048713,0.0125210595354511,0.0349441839011021,0.00375303796721294,0.00301249687821597,798.378644981643
0.030888384346356,0.211433232503137,0.710903619160915,0.0294951129181169,0.000589383446304002,0.012645763170167,0.0349328888013605,0.00451397214600444,0.00361869142102722,799.410695964214
0.0362281675712845,0.211205607458844,0.710389077926259,0.0300927143015106,0.000622062015099241,0.0127688263719969,0.03492171192629,0.00526742623614724,0.00421734839754769,800.42509461525
0.041567950796213,0.210980289245526,0.709880080844204,0.0306839297720121,0.000654739021627076,0.0128903127950923,0.0349106483215395,0.00601371969926769,0.00480876299681852,801.424369423335
0.0539986805567911,0.210464179424704,0.708715410929874,0.0320369276386353,0.000730817969474154,0.0131673578085454,0.0348853062287663,0.00772494994519281,0.00615906315951866,803.70160722896
0.0664294103173691,0.209958797488666,0.707576590760078,0.0333601611664037,0.000806956393387574,0.013437003293452,0.0348604908980126,0.00940302142040503,0.00747545669723889,805.924738906272
0.0788601400779472,0.209462873396211,0.706460623077858,0.0346570910490248,0.000883210266770708,0.0137000622425885,0.034836139967547,0.0110520130849138,0.00876176564424623,808.104223875852
0.0912908698385252,0.208975240125111,0.705364752532537,0.0359308984824097,0.000959629807529724,0.0139572829183229,0.0348121961340897,0.0126756864241936,0.0100215191700676,810.245803707275
0.103721599599103,0.208494847390626,0.704286503484708,0.0371844423538065,0.00103626430321023,0.0142093346412295,0.0347886078264199,0.0142774364427154,0.0112578822164094,812.353552345125
0.130227326302007,0.207491193798484,0.702037903970936,0.039799274049554,0.00120048857661141,0.0147318133095946,0.0347393262948195,0.0176308891066164,0.013826863305755,816.747442924607
0.156733053004912,0.206510007524556,0.699844650965249,0.042350560935489,0.00136604701735133,0.0152375856009011,0.034691147956454,0.0209184831086512,0.0163216372153918,821.022824643519
0.183238779707816,0.205546120002539,0.697694493017401,0.0448524404664816,0.0015331136174007,0.0157300138724813,0.034643819023696,0.0241570189223963,0.0187581659765108,825.192587065751
0.20974450641072,0.204595799309553,0.695578556300586,0.0473151482442347,0.00170178624333361,0.0162115536511181,0.0345971562511737,0.0273586464119265,0.0211481127188404,829.264105155149
0.236250233113624,0.203656283131256,0.693490248491096,0.0497462845581728,0.00187211328672814,0.0166840465293851,0.0345510240033622,0.0305323744974912,0.02350022877417,833.243046581256
0.282533851557876,0.202035822181505,0.689896047292839,0.0539317903201479,0.00217356568486183,0.0174913186054446,0.0344714559152021,0.0360263257102411,0.0275352893289847,839.98300772973
0.328817470002128,0.200433542540317,0.686350762013728,0.058061745821834,0.00248022540176967,0.0182809436542869,0.0343927805680638,0.0414836300969351,0.0315023572818836,846.47536012745
0.37510108844638,0.198843694059654,0.682840592305377,0.0621520496348336,0.00279211567727776,0.0190568327054404,0.0343147156174166,0.0469233285027494,0.0354201526808316,852.733339021891
0.421384706890632,0.197262612657473,0.679356700666604,0.0662128762801787,0.00310920761146361,0.0198215216352632,0.0342370811490176,0.0523576317866245,0.0393008115168471,858.766547527817
0.467668325334884,0.195687708162137,0.675892856077404,0.070251401928896,0.00343149706157303,0.0205767867900735,0.0341597499799156,0.0577952609411771,0.0431528555371787,864.58403351693
0.546808925421314,0.193005744817335,0.670008110017973,0.0771147937037344,0.00399429924525509,0.0218489923551264,0.0340280598605757,0.0671120817945224,0.0496854463477745,874.054989614111
0.625949525507744,0.190333962072604,0.66416220176659,0.0839356327798031,0.00457146466311786,0.0230998690874732,0.0338968696304112,0.0764655169106823,0.0561636506175065,882.958778560481
0.705090125594174,0.187671587864468,0.658352570466034,0.0907167617395319,0.00516228852970519,0.0243306500208031,0.0337661413794575,0.0858583120046016,0.0625926858257555,891.332316240436
0.784230725680603,0.185019990795328,0.652581618826229,0.0974552784714014,0.00576588337942991,0.0255412862186039,0.0336359423090084,0.0952856542819324,0.068971224958166,899.211510039101
